product_id,sku,product_name,category_id,supplier_id,unit_price,unit_cost,currency,created_at,is_active
61,SKU-IPSYFNA8,SSD Drive,16,1,12.61,6.94,MAD,2024-03-07,True
62,SKU-2M94BTIS,Water Bottle,16,18,32.67,20.73,USD,2024-11-17,True
63,SKU-PGZUJOP7,laptop sleeve,4,23,3.13,2.01,USD,2022-09-25,True
64,SKU-3K1IMJ62,FITNESS TRACKER,15,20,44.29,24.99,MAD,2022-12-17,True
65,SKU-160SLYCJ,WEBCAM,12,35,28.75,12.32,EUR,2023-10-08,True
66,SKU-X65UZWVT,noise cancelling headphones,15,30,4.21,2.0,GBP,2023-02-07,True
67,SKU-K4J43ZJ9,SSD Drive,7,27,4.58,2.0,MAD,2024-09-06,True
68,SKU-6MIHZQ34,DESK LAMP,3,39,28.09,16.54,GBP,2022-12-31,False
69,SKU-YQSQYCBU,4K MONITOR,16,30,48.3,28.38,USD,2023-01-19,True
70,SKU-DXZCIW16,SSD DRIVE,8,11,56.34,23.61,EUR,2023-08-14,False
71,SKU-0ON7FQBS,Portable Charger,11,26,52.33,36.18,GBP,2025-05-30,True
72,SKU-U5D5I4XO,bluetooth speaker,15,9,6.62,3.78,EUR,2025-02-22,True
73,SKU-8YOBINXK,Noise Cancelling Headphones,2,32,3.28,2.0,USD,2023-01-02,False
74,SKU-5RBY2305,DESK LAMP,14,9,36.32,22.92,USD,2024-06-28,True
75,SKU-F2NX8G3W,fitness tracker,14,32,3.13,2.0,USD,2022-11-05,False
76,SKU-MD4PK2RL,4K Monitor,7,38,70.91,35.37,EUR,2023-02-18,True
77,SKU-F767C27W,Tripod,14,17,43.04,20.3,USD,2023-10-15,True
78,SKU-SANCMXWA,FITNESS TRACKER,10,28,23.81,15.2,USD,2022-10-10,True
79,SKU-BPI9ERQ0,Bluetooth Speaker,7,2,23.28,15.98,USD,2024-11-18,False
80,SKU-T2BVCP0C,webcam,5,22,81.09,35.05,MAD,2023-05-02,False
81,SKU-EH1OY16D,PORTABLE CHARGER,8,15,4.04,2.0,EUR,2025-04-27,True
82,SKU-I56HXY5D,Noise Cancelling Headphones,1,20,4.02,2.0,GBP,2022-12-16,True
83,SKU-SCQ5VDZ7,WATER BOTTLE,1,8,47.05,34.96,USD,2023-10-06,True
84,SKU-8SVA5WZM,USB-C Cable,15,8,38.04,20.18,USD,2024-12-19,True
85,SKU-P2V0A3VF,gaming keyboard,16,21,42.07,26.19,EUR,2023-06-29,True
86,SKU-RORAUG64,gaming keyboard,1,24,40.27,16.18,USD,2025-08-18,True
87,SKU-MWEM7GC3,router,7,35,56.82,31.99,USD,2025-04-19,True
88,SKU-U8AVCAK1,portable charger,19,12,18.25,9.95,MAD,2025-08-28,True
89,SKU-CXKW6A5R,Phone Case,1,37,3.62,2.15,USD,2022-11-16,True
90,SKU-MJPZZYA2,SSD DRIVE,19,31,84.55,41.68,USD,2024-11-19,True
91,SKU-VGDT3JU8,SSD DRIVE,18,40,3.53,2.0,USD,2024-11-03,True
92,SKU-24Z9Q1M2,Smartwatch Band,1,31,107.77,50.88,USD,2023-02-09,True
93,SKU-UNVF9A4M,water bottle,17,23,54.41,35.3,USD,2025-02-02,True
94,SKU-0KO0GDOT,LAPTOP SLEEVE,5,29,2.73,2.0,USD,2024-09-02,False
95,SKU-EVIK013D,Fitness Tracker,1,18,28.91,17.76,EUR,2024-12-01,True
96,SKU-69HHNLGG,Fitness Tracker,2,23,3.58,2.0,USD,2022-12-22,True
97,SKU-55X0VR1M,Router,17,23,30.93,10.53,USD,2022-11-03,True
98,SKU-QUKVQ7L7,TRIPOD,9,28,58.82,33.61,MAD,2024-10-21,True
99,SKU-DKOXM6WP,SMARTWATCH BAND,1,4,38.55,23.5,USD,2025-01-16,True
100,SKU-2WHX49ZO,DESK LAMP,13,6,43.49,20.99,USD,2024-08-27,True
101,SKU-6TQ65B2B,fitness tracker,11,32,10.91,6.27,USD,2023-06-05,True
102,SKU-I4VSECFB,Desk Lamp,16,9,38.46,20.66,USD,2024-03-01,True
103,SKU-010HCLJE,SMARTWATCH BAND,18,4,43.82,34.37,EUR,2024-04-26,True
104,SKU-YTOQJXKK,Gaming Keyboard,9,37,44.32,26.44,MAD,2025-05-09,True
105,SKU-GP3SILEK,COFFEE MUG,9,8,60.38,21.54,USD,2024-03-05,True
106,SKU-78MZHXDL,4K Monitor,10,9,27.62,14.38,USD,2023-02-18,True
107,SKU-0SLYT7XN,BLUETOOTH SPEAKER,14,2,18.4,7.35,USD,2023-11-11,False
108,SKU-5YGD7NQC,usb-c cable,9,29,59.08,27.74,MAD,2024-06-07,True
109,SKU-NZE8F14K,gaming keyboard,16,3,25.5,12.44,USD,2023-05-28,True
110,SKU-ADIB39RX,USB-C CABLE,13,31,116.13,45.59,GBP,2023-02-23,True
111,SKU-828RFFKT,SSD Drive,15,10,40.5,23.14,USD,2023-03-27,True
112,SKU-DLDGR8H2,Desk Lamp,11,5,79.07,30.6,EUR,2025-05-29,True
113,SKU-WID04WRQ,4K Monitor,11,35,4.32,2.0,MAD,2022-11-06,True
114,SKU-HC9KMGY7,Portable Charger,9,22,71.96,32.79,USD,2024-02-15,True
115,SKU-514Q65QJ,LAPTOP STAND,4,3,50.23,38.85,USD,2023-08-03,True
116,SKU-UDL69AWE,DESK LAMP,16,40,15.79,10.0,USD,2025-02-01,True
117,SKU-EL9OTDMH,4K MONITOR,3,23,59.23,27.72,EUR,2024-04-07,True
118,SKU-YEMUV0QR,Wireless Mouse,5,34,22.32,13.5,USD,2023-11-25,True
119,SKU-67WATNAU,HDMI Adapter,16,13,20.28,12.67,MAD,2025-09-02,True
120,SKU-48HV6XPU,Bluetooth Speaker,11,2,48.18,25.79,GBP,2023-08-19,True
121,SKU-GQSJ3S7I,smartwatch band,14,12,33.27,23.6,USD,2024-05-10,True
122,SKU-ETSA3ZQF,Laptop Stand,5,35,118.34,58.98,GBP,2023-07-14,True
123,SKU-9NW4QC3E,fitness tracker,10,11,58.59,42.25,GBP,2024-03-20,True
124,SKU-JALES9RG,HDMI Adapter,18,20,38.89,15.45,USD,2025-01-09,True
125,SKU-EQN92F8E,water bottle,9,21,22.02,14.08,EUR,2024-02-29,True
126,SKU-N4CXLGFO,Bluetooth Speaker,7,35,73.98,34.05,EUR,2023-08-11,False
127,SKU-G3U911OR,Phone Case,15,4,15.33,7.74,USD,2023-03-09,True
128,SKU-H2FR5KY4,Gaming Keyboard,13,21,17.97,9.07,USD,2025-06-19,False
129,SKU-MK0SCUQ0,4K MONITOR,5,22,51.25,23.38,USD,2025-09-09,True
130,SKU-DEHN4W1M,webcam,3,23,67.38,29.43,GBP,2023-04-23,True
131,SKU-EUX3LKJN,HDMI Adapter,9,17,53.89,26.76,USD,2025-06-03,True
132,SKU-36KP41G4,BLUETOOTH SPEAKER,11,27,75.84,35.44,USD,2024-11-16,False
133,SKU-8YR1C77S,desk lamp,3,9,9.47,5.03,USD,2024-11-27,True
134,SKU-Q5Z8OOYE,laptop sleeve,10,21,20.76,10.3,EUR,2024-10-30,True
135,SKU-AM4X2NK0,ssd drive,8,25,37.37,31.14,GBP,2023-11-20,True
136,SKU-OI3XCJQW,water bottle,17,32,10.4,5.86,USD,2024-05-20,True
137,SKU-52UMS3L4,noise cancelling headphones,2,35,12.36,5.92,USD,2024-11-06,True
138,SKU-QY1GM01H,Portable Charger,7,4,21.76,17.26,MAD,2023-01-10,True
139,SKU-KTHWM749,Laptop Stand,1,9,49.63,27.22,USD,2025-04-21,True
140,SKU-S6WSHVLW,bluetooth speaker,10,31,28.38,10.63,EUR,2024-09-02,True
141,SKU-42R8VNH8,LAPTOP STAND,3,23,60.7,35.45,USD,2023-07-29,True
142,SKU-0C5VRJ8F,webcam,11,10,46.56,20.58,EUR,2023-05-01,True
143,SKU-7XSWU0Q3,HDMI Adapter,12,24,44.18,28.92,USD,2024-03-11,True
144,SKU-CXQ2X2JJ,smartwatch band,14,40,73.91,58.69,EUR,2023-10-27,True
145,SKU-KGL503FU,usb-c cable,3,11,11.7,7.73,USD,2023-07-03,True
146,SKU-F4QNKVMD,Tripod,4,21,74.46,32.64,EUR,2023-01-14,True
147,SKU-NWO1SYW3,Bluetooth Speaker,16,8,51.41,29.28,USD,2022-10-22,True
148,SKU-BUBXC2JS,4K Monitor,16,39,50.18,41.82,USD,2025-02-19,True
149,SKU-BOJK1RAS,COFFEE MUG,2,26,27.25,14.74,USD,2025-05-06,True
150,SKU-VSG5PTTT,SMARTWATCH BAND,3,30,10.86,6.65,MAD,2024-01-01,True
151,SKU-V529HQK3,Smartwatch Band,5,28,2.4,2.0,EUR,2022-10-10,True
152,SKU-URSEQP6K,Tripod,16,29,51.52,26.97,EUR,2025-03-15,True
153,SKU-TDCLFB3F,water bottle,13,5,28.37,13.87,USD,2022-10-10,True
154,SKU-MU3C1ALV,BLUETOOTH SPEAKER,13,28,26.34,15.21,EUR,2023-05-12,True
155,SKU-9G1NXX24,4K MONITOR,9,17,35.57,29.64,USD,2023-09-22,False
156,SKU-XVKMBSC2,Tripod,4,26,50.99,20.35,GBP,2024-02-07,True
157,SKU-6YYSAQ8Q,usb-c cable,3,17,3.75,2.0,GBP,2024-08-06,True
158,SKU-WAEX4414,SSD DRIVE,11,14,101.86,55.52,GBP,2023-03-27,True
159,SKU-WOKR2S26,Gaming Keyboard,3,23,51.29,24.42,EUR,2024-02-11,True
160,SKU-1KPM6E6M,COFFEE MUG,17,22,46.58,26.72,GBP,2022-10-01,True
161,SKU-N5DJJPZA,ssd drive,13,3,27.81,19.69,USD,2025-04-13,True
162,SKU-RH0NEZ44,GAMING KEYBOARD,5,16,43.3,24.53,GBP,2023-11-16,True
163,SKU-Y8MJ0FDN,desk lamp,2,22,8.43,4.71,USD,2024-08-01,True
164,SKU-9GA2569L,ROUTER,9,36,37.09,30.91,GBP,2024-10-09,True
165,SKU-MU9FR6MV,Coffee Mug,14,3,3.21,2.0,EUR,2022-11-07,True
166,SKU-RAVTDVQD,noise cancelling headphones,17,18,80.99,36.37,MAD,2023-12-26,True
167,SKU-KVM1GJF6,Phone Case,1,36,3.78,2.0,EUR,2023-05-19,True
168,SKU-3A6ST5B5,Noise Cancelling Headphones,15,14,3.59,2.0,USD,2024-07-24,True
169,SKU-59WDR1QL,Gaming Keyboard,8,15,51.67,39.57,USD,2024-02-21,True
170,SKU-98Y951M4,PORTABLE CHARGER,12,5,123.57,42.95,USD,2023-11-26,True
171,SKU-0688XSGE,Water Bottle,17,25,29.11,11.82,USD,2024-05-28,True
172,SKU-203K75MJ,Laptop Sleeve,10,5,49.35,35.96,USD,2024-12-01,True
173,SKU-1RLFD39X,TRIPOD,16,16,26.4,22.0,USD,2023-11-17,True
174,SKU-KFVA96NZ,Desk Lamp,5,38,16.43,13.21,USD,2025-01-24,False
175,SKU-6HASLXN5,Bluetooth Speaker,5,14,56.32,37.44,USD,2022-10-19,True
176,SKU-BVIM13AX,4K Monitor,17,36,60.68,28.62,GBP,2023-11-07,True
177,SKU-03XJUA8T,desk lamp,5,14,35.78,29.82,USD,2024-02-03,True
178,SKU-I8YKY812,NOISE CANCELLING HEADPHONES,12,12,21.18,16.44,GBP,2024-11-27,True
179,SKU-FWJFWIGN,4k monitor,8,23,3.29,2.0,EUR,2024-04-30,True
180,SKU-DXH6Y23B,WATER BOTTLE,11,27,3.49,2.0,MAD,2022-10-10,True
181,SKU-AR3O6XQ2,GAMING KEYBOARD,18,6,12.32,10.27,MAD,2024-02-05,True
182,SKU-JJF7CPKA,water bottle,18,25,95.17,39.94,EUR,2022-10-23,True
183,SKU-IDIMT34N,DESK LAMP,17,10,130.15,55.47,USD,2022-12-01,True
184,SKU-UV32GMR7,SSD Drive,16,37,25.53,17.32,USD,2024-10-05,True
185,SKU-WZ21DNVD,Laptop Stand,11,24,40.41,16.13,USD,2023-03-14,True
186,SKU-5AIF2RZB,bluetooth speaker,9,8,126.77,46.95,GBP,2023-03-15,True
187,SKU-11RKEEOK,water bottle,1,36,4.0,2.05,USD,2023-06-23,True
188,SKU-U8BFM28G,HDMI Adapter,20,32,29.03,14.98,MAD,2024-07-31,True
189,SKU-EEZLGET2,Wireless Mouse,12,32,44.8,25.96,GBP,2024-06-17,False
190,SKU-AT1YGF09,Coffee Mug,19,38,34.81,21.38,USD,2024-05-03,True
191,SKU-HCC8TBN6,Fitness Tracker,13,29,101.08,34.17,USD,2023-06-18,True
192,SKU-YPKFZLUJ,BLUETOOTH SPEAKER,19,13,72.41,35.29,GBP,2025-06-10,True
193,SKU-GDB2CCMU,Gaming Keyboard,15,1,35.16,29.3,MAD,2024-12-31,True
194,SKU-NE8R4V4V,wireless mouse,14,40,21.91,18.26,MAD,2025-05-03,True
195,SKU-9AE3LPM7,Laptop Sleeve,20,22,25.73,13.91,GBP,2023-03-26,True
196,SKU-11VLIF0J,SSD DRIVE,6,16,3.2,2.0,USD,2023-09-07,True
197,SKU-2764ENXH,noise cancelling headphones,17,7,36.3,25.54,MAD,2022-10-04,True
198,SKU-Y1E0NLYC,Laptop Stand,20,37,34.88,19.22,GBP,2024-11-06,True
199,SKU-3020BHRZ,TRIPOD,16,27,14.06,8.73,USD,2023-07-11,True
200,SKU-9GORZL32,Desk Lamp,7,20,2.97,2.0,MAD,2022-11-14,True
201,SKU-BJH475LD,tripod,20,7,62.03,33.28,EUR,2025-07-14,False
202,SKU-FIW35EAN,usb-c cable,10,40,12.38,7.27,EUR,2023-09-06,True
203,SKU-WXE5UFWR,phone case,20,39,111.97,42.7,EUR,2023-06-05,True
204,SKU-30J4RAZ5,NOISE CANCELLING HEADPHONES,15,39,3.73,2.22,GBP,2022-10-29,True
205,SKU-H1CD0N7P,water bottle,14,27,3.04,2.0,USD,2023-01-30,True
206,SKU-NJ83UNMO,HDMI ADAPTER,14,24,44.92,19.82,MAD,2025-07-06,False
207,SKU-20OMXOQ9,phone case,7,18,109.2,46.02,USD,2023-09-15,True
208,SKU-THGX9LDC,Smartwatch Band,16,32,19.29,8.11,USD,2025-07-09,True
209,SKU-1MWEB8CO,LAPTOP STAND,15,12,32.56,17.14,USD,2025-02-07,True
210,SKU-IEO6LNE0,PORTABLE CHARGER,3,13,56.83,37.88,USD,2023-10-27,True
211,SKU-DGC77GPU,Webcam,12,11,12.99,6.33,EUR,2025-01-20,False
212,SKU-BPCA7IC7,WEBCAM,6,1,47.55,28.54,GBP,2023-10-01,True
213,SKU-QFVD37KJ,laptop stand,19,16,3.89,2.0,MAD,2025-01-05,True
214,SKU-476DEPMY,webcam,2,14,39.23,32.69,EUR,2024-06-07,True
215,SKU-KJZGWYQH,SMARTWATCH BAND,3,40,53.16,34.61,EUR,2025-03-25,True
216,SKU-UEVQIR4Q,GAMING KEYBOARD,17,5,13.61,9.24,EUR,2024-06-21,True
217,SKU-5D31HED3,ssd drive,11,23,52.71,37.09,USD,2023-01-05,True
218,SKU-591UGLTD,Fitness Tracker,15,38,27.45,18.64,USD,2023-01-26,True
219,SKU-XSTLHZIB,SSD DRIVE,7,4,35.23,17.52,USD,2024-05-13,False
220,SKU-VRVSAR04,USB-C Cable,3,2,13.56,7.12,EUR,2025-06-20,True
221,SKU-17SBXZOZ,router,7,40,49.87,22.59,MAD,2024-07-31,True
222,SKU-JM8ZE2EO,webcam,10,7,45.08,30.43,USD,2024-04-22,True
223,SKU-EO9JB5SC,PHONE CASE,20,14,6.34,4.72,USD,2023-09-29,True
224,SKU-PRLVQ11W,Bluetooth Speaker,14,30,32.62,25.84,USD,2025-06-18,True
225,SKU-2JM5IWXG,USB-C CABLE,16,12,15.58,7.54,USD,2023-05-27,True
226,SKU-22BKVBUC,HDMI ADAPTER,15,19,47.61,27.71,USD,2024-03-06,True
227,SKU-Z3HJ5396,SSD Drive,15,36,57.46,28.72,MAD,2024-03-01,False
228,SKU-PLEH5CHR,4K Monitor,1,2,63.82,42.6,GBP,2023-01-05,True
229,SKU-NSPDCBS5,USB-C CABLE,14,21,53.87,30.1,EUR,2023-08-26,False
230,SKU-C000VKQP,Laptop Sleeve,10,29,73.55,31.69,USD,2025-05-05,True
231,SKU-A5BY10TV,Desk Lamp,2,36,41.29,34.41,USD,2025-01-12,True
232,SKU-2YODYCHO,coffee mug,3,10,18.2,11.07,USD,2025-02-25,True
233,SKU-VK4WHBDI,bluetooth speaker,4,18,35.63,22.49,GBP,2023-06-17,True
234,SKU-4KMSZSUK,ROUTER,2,7,3.95,2.0,USD,2025-05-01,True
235,SKU-WIB9XXV6,Wireless Mouse,10,24,42.43,22.65,MAD,2022-12-22,True
236,SKU-FYO4WV1O,PORTABLE CHARGER,17,10,3.18,2.0,EUR,2024-09-03,True
237,SKU-QM0N2Y5P,USB-C CABLE,1,35,58.01,27.57,USD,2025-08-23,True
238,SKU-5NPRNPGX,USB-C Cable,19,9,63.68,31.46,GBP,2022-11-10,True
239,SKU-AZSIPJW8,Desk Lamp,13,34,12.09,5.97,GBP,2025-05-26,True
240,SKU-9ZL6B606,noise cancelling headphones,6,29,53.2,34.46,USD,2024-08-10,False
241,SKU-TFOSLW1W,hdmi adapter,6,26,64.94,33.29,GBP,2023-06-26,False
242,SKU-9KSZZJOI,router,1,12,23.51,13.48,EUR,2023-10-27,True
243,SKU-4SNNM3QE,phone case,8,29,3.72,2.0,USD,2023-09-30,True
244,SKU-2RMTJTX8,4K MONITOR,7,34,35.3,25.83,GBP,2024-01-26,False
245,SKU-DZCD4MLG,bluetooth speaker,11,24,72.71,60.59,USD,2024-04-12,True
246,SKU-DTN7G0NN,Noise Cancelling Headphones,4,15,33.79,28.16,GBP,2024-03-02,True
247,SKU-XQR4X974,gaming keyboard,18,35,9.95,5.75,USD,2023-02-04,False
248,SKU-DL7PQJXV,Portable Charger,15,29,82.6,44.16,USD,2024-01-21,True
249,SKU-77M5LGHK,SMARTWATCH BAND,8,1,25.06,14.76,USD,2023-05-25,False
250,SKU-EO1FGSZZ,Portable Charger,13,13,52.53,22.33,USD,2024-02-16,False
251,SKU-501W04S3,Noise Cancelling Headphones,15,5,61.62,20.54,GBP,2025-03-10,True
252,SKU-938DXCD4,PHONE CASE,17,37,3.58,2.0,USD,2024-04-28,True
253,SKU-JOLSJWQB,WIRELESS MOUSE,4,4,17.84,12.97,USD,2023-08-08,True
254,SKU-SOB224ZL,Router,1,21,42.76,20.07,GBP,2025-01-29,True
255,SKU-DE8Y4W66,USB-C Cable,11,20,62.47,33.35,EUR,2023-06-18,True
256,SKU-U9580I86,Smartwatch Band,11,29,39.21,19.1,USD,2023-02-23,True
257,SKU-PLKHCGSP,SSD Drive,3,14,24.91,14.61,USD,2025-04-30,True
258,SKU-HU5LTZCM,SSD DRIVE,9,19,30.89,14.44,MAD,2025-06-04,True
259,SKU-TJ2AZ7P3,Tripod,11,23,24.76,15.92,MAD,2023-05-12,True
260,SKU-8ADVV0XJ,Bluetooth Speaker,7,7,35.28,24.74,GBP,2025-04-07,True
261,SKU-GSB5XYT9,coffee mug,11,34,22.96,16.73,USD,2023-10-13,True
262,SKU-67B1HO49,COFFEE MUG,1,40,3.67,2.0,USD,2024-09-16,True
263,SKU-466D0AFW,BLUETOOTH SPEAKER,9,17,21.53,9.46,USD,2024-05-25,True
264,SKU-AS0AWP1B,Laptop Sleeve,14,25,35.99,16.12,GBP,2024-12-22,True
265,SKU-RTJ7O85C,bluetooth speaker,13,5,58.41,34.26,EUR,2023-05-16,True
266,SKU-SCBR6OZ7,Wireless Mouse,18,36,20.52,16.16,USD,2025-08-26,False
267,SKU-5XQ3W2MO,USB-C Cable,6,6,53.46,42.55,EUR,2022-12-19,True
268,SKU-BINC58R2,LAPTOP STAND,18,33,3.56,2.0,GBP,2025-08-10,True
269,SKU-53IL5N4R,smartwatch band,12,3,69.73,41.66,EUR,2024-05-20,True
270,SKU-DQ1K2AKS,ssd drive,18,18,111.82,54.06,EUR,2024-02-16,True
271,SKU-JQ21WNTG,SSD DRIVE,7,30,4.04,2.54,GBP,2023-02-03,True
272,SKU-I2M66IO6,usb-c cable,11,23,30.87,21.03,USD,2025-08-22,True
273,SKU-CWLBHJD1,Wireless Mouse,20,37,46.71,31.62,EUR,2023-05-11,True
274,SKU-OF2HENUH,Phone Case,19,15,24.89,16.15,EUR,2023-11-19,False
275,SKU-XYPDLU9R,tripod,16,4,11.98,8.45,EUR,2025-02-06,True
276,SKU-CWP3ZNBT,Coffee Mug,7,9,14.18,9.35,GBP,2024-07-03,True
277,SKU-B5ANAWRT,Fitness Tracker,8,23,12.41,9.03,GBP,2024-07-29,True
278,SKU-QZYEH3YS,Webcam,18,17,3.93,2.0,USD,2025-06-16,True
279,SKU-DNG424M8,COFFEE MUG,10,13,93.36,39.49,EUR,2024-04-29,True
280,SKU-1XSVW3RK,SMARTWATCH BAND,13,30,35.11,14.62,MAD,2025-06-04,True
281,SKU-8UTK1LM8,WIRELESS MOUSE,16,28,49.95,20.94,GBP,2025-01-20,True
282,SKU-ALYAQ5FC,SSD DRIVE,4,22,17.47,10.33,GBP,2024-09-21,True
283,SKU-YEYEWQGG,webcam,10,18,19.29,12.48,USD,2022-10-13,True
284,SKU-WT3IOG72,Bluetooth Speaker,19,27,43.5,36.25,EUR,2024-04-30,True
285,SKU-Z5EQP3P3,Laptop Stand,4,24,31.6,12.12,EUR,2024-03-19,False
286,SKU-KBY2FMM1,Laptop Sleeve,6,25,35.36,21.24,EUR,2025-01-24,True
287,SKU-09M54YTJ,Bluetooth Speaker,20,27,32.58,21.73,EUR,2025-09-01,True
288,SKU-PSQ8PJLK,Portable Charger,11,16,55.08,32.3,USD,2024-10-22,False
289,SKU-AAIDYABR,Fitness Tracker,5,23,3.56,2.0,USD,2025-02-09,True
290,SKU-0ZP95NA9,Tripod,2,29,36.07,19.0,EUR,2024-02-09,True
291,SKU-ZIKXUN4M,GAMING KEYBOARD,12,23,52.37,29.57,USD,2023-09-14,True
292,SKU-PW71TD9L,SSD Drive,14,5,58.18,36.49,EUR,2024-01-21,True
293,SKU-7684XIJF,water bottle,5,30,85.29,35.17,GBP,2024-05-29,True
